greeting_foreign,language_origin,translation_en,used,date_used
Carpe diem!,Latin,Seize the day!,FALSE,
Ad astra.,Latin,To the stars.,FALSE,
Luceat lux vestra.,Latin,Let your light shine.,FALSE,
"Dum spiro, spero.",Latin,"While I breathe, I hope.",FALSE,
Age quod agis.,Latin,Do what you are doing (well).,FALSE,
Incipe.,Latin,Begin.,FALSE,
Fac vitam incredibilem.,Latin,Make life incredible.,FALSE,
Sedit qui timuit ne non succederet.,Latin,He who feared that he would not succeed sat still.,FALSE,
Perfer et obdura.,Latin,Endure and be strong.,FALSE,
Posside sapientiam.,Latin,Possess wisdom.,FALSE,
Buona giornata!,Italian,Have a nice day!,FALSE,
In bocca al lupo!,Italian,Break a leg!,FALSE,
Forza e coraggio.,Italian,Strength and courage.,FALSE,
Goditi la giornata.,Italian,Enjoy the day.,FALSE,
Sii felice.,Italian,Be happy.,FALSE,
Credi in te stesso.,Italian,Believe in yourself.,FALSE,
Andrà tutto bene.,Italian,Everything will be alright.,FALSE,
Ogni giorno è un nuovo inizio.,Italian,Every day is a new beginning.,FALSE,
Ce la puoi fare.,Italian,You can do it.,FALSE,
Splendi!,Italian,Shine!,FALSE,
¡Que tengas un buen día!,Spanish,Have a nice day!,FALSE,
¡A por el día!,Spanish,Let's seize the day!,FALSE,
¡Adelante!,Spanish,Forward!,FALSE,
Con energía.,Spanish,With energy.,FALSE,
Paso a paso.,Spanish,Step by step.,FALSE,
Cree en ti.,Spanish,Believe in yourself.,FALSE,
Tú puedes.,Spanish,You can do it.,FALSE,
Disfruta el momento.,Spanish,Enjoy the moment.,FALSE,
Hoy es tu día.,Spanish,Today is your day.,FALSE,
Con alegría.,Spanish,With joy.,FALSE,
Bonne journée !,French,Have a nice day!,FALSE,
Bon courage !,French,Good luck! / Stay strong!,FALSE,
Profite de ta journée.,French,Enjoy your day.,FALSE,
Fonce !,French,Go for it!,FALSE,
Crois en toi.,French,Believe in yourself.,FALSE,
Tout est possible.,French,Everything is possible.,FALSE,
Avec le sourire.,French,With a smile.,FALSE,
Passe une excellente journée.,French,Have an excellent day.,FALSE,
Reste positif.,French,Stay positive.,FALSE,
Joie de vivre.,French,Joy of living.,FALSE,
Einen schönen Tag!,German,Have a nice day!,FALSE,
Viel Erfolg!,German,Much success!,FALSE,
Gib dein Bestes.,German,Do your best.,FALSE,
Kopf hoch!,German,Chin up!,FALSE,
Du schaffst das.,German,You can do it.,FALSE,
Bleib stark.,German,Stay strong.,FALSE,
Genieß den Tag.,German,Enjoy the day.,FALSE,
Mit Mut.,German,With courage.,FALSE,
Alles wird gut.,German,Everything will be alright.,FALSE,
Sei zuversichtlich.,German,Be confident.,FALSE,
Tenha um bom dia!,Portuguese,Have a good day!,FALSE,
Força!,Portuguese,Strength!,FALSE,
Acredite em você.,Portuguese,Believe in yourself.,FALSE,
Você consegue.,Portuguese,You can do it.,FALSE,
Aproveite o dia.,Portuguese,Seize the day.,FALSE,
Mantenha o foco.,Portuguese,Stay focused.,FALSE,
Seja feliz.,Portuguese,Be happy.,FALSE,
Tudo vai dar certo.,Portuguese,Everything will work out.,FALSE,
Com determinação.,Portuguese,With determination.,FALSE,
Sorria.,Portuguese,Smile.,FALSE,
O zi buna!,Romanian,Have a good day!,FALSE,
Mult succes!,Romanian,Much success!,FALSE,
Fii puternic.,Romanian,Be strong.,FALSE,
Bucura-te de zi.,Romanian,Enjoy the day.,FALSE,
Crede în tine.,Romanian,Believe in yourself.,FALSE,
Po?i reu?i.,Romanian,You can succeed.,FALSE,
Zâmbe?te.,Romanian,Smile.,FALSE,
Fii optimist.,Romanian,Be optimistic.,FALSE,
Totul va fi bine.,Romanian,Everything will be fine.,FALSE,
Cu încredere.,Romanian,With confidence.,FALSE,
Fijne dag!,Dutch,Have a nice day!,FALSE,
Zet hem op!,Dutch,Go for it!,FALSE,
Maak er een mooie dag van.,Dutch,Make it a beautiful day.,FALSE,
Geloof in jezelf.,Dutch,Believe in yourself.,FALSE,
Je kunt het.,Dutch,You can do it.,FALSE,
Geniet ervan.,Dutch,Enjoy it.,FALSE,
Blijf positief.,Dutch,Stay positive.,FALSE,
Het komt goed.,Dutch,It will be alright.,FALSE,
Veel succes!,Dutch,Good luck!,FALSE,
Met een lach.,Dutch,With a laugh.,FALSE,
Ha en bra dag!,Swedish,Have a nice day!,FALSE,
Lycka till!,Swedish,Good luck!,FALSE,
Kör hårt!,Swedish,Go hard! / Give it your all!,FALSE,
Gör ditt bästa.,Swedish,Do your best.,FALSE,
Du klarar det.,Swedish,You can do it.,FALSE,
Tro på dig själv.,Swedish,Believe in yourself.,FALSE,
Njut av dagen.,Swedish,Enjoy the day.,FALSE,
Var positiv.,Swedish,Be positive.,FALSE,
Det ordnar sig.,Swedish,It will work out.,FALSE,
Ge inte upp.,Swedish,Don't give up.,FALSE,
Ha en god dag!,Norwegian,Have a good day!,FALSE,
Lykke til!,Norwegian,Good luck!,FALSE,
Stå på!,Norwegian,Keep it up! / Go for it!,FALSE,
Du greier det.,Norwegian,You can do it.,FALSE,
Kos deg.,Norwegian,Enjoy yourself.,FALSE,
Tro på deg selv.,Norwegian,Believe in yourself.,FALSE,
Vær glad.,Norwegian,Be happy.,FALSE,
Det går bra.,Norwegian,It will be fine.,FALSE,
Alt er mulig.,Norwegian,Everything is possible.,FALSE,
Hold hodet høyt.,Norwegian,Hold your head high.,FALSE,
Hav en god dag.,Danish,Have a good day!,FALSE,
Held og lykke.,Danish,Good luck.,FALSE,
Gør dit bedste.,Danish,Do your best.,FALSE,
Du kan godt.,Danish,You can do it.,FALSE,
Nyd dagen.,Danish,Enjoy the day.,FALSE,
Tro på dig selv.,Danish,Believe in yourself.,FALSE,
Smil til verden.,Danish,Smile at the world.,FALSE,
Det skal nok gå.,Danish,It will be alright.,FALSE,
Vær stærk.,Danish,Be strong.,FALSE,
Hygge.,Danish,Coziness.,FALSE,
Góðan daginn!,Icelandic,Good day!,FALSE,
Gangi þér vel!,Icelandic,Good luck!,FALSE,
Þú getur þetta.,Icelandic,You can do this.,FALSE,
Njóttu dagsins.,Icelandic,Enjoy the day.,FALSE,
Vertu jákvæður.,Icelandic,Be positive.,FALSE,
Trúðu á sjálfan þig.,Icelandic,Believe in yourself.,FALSE,
Þetta reddast.,Icelandic,It will all work out in the end.,FALSE,
Haltu áfram.,Icelandic,Continue.,FALSE,
Vertu glaður.,Icelandic,Be happy.,FALSE,
Allt er hægt.,Icelandic,Everything is possible.,FALSE,
Hyvää päivänjatkoa!,Finnish,Have a nice rest of the day!,FALSE,
Tsemppiä päivään!,Finnish,Energy for the day!,FALSE,
Onnea matkaan.,Finnish,Good luck on your journey.,FALSE,
Sinä pystyt siihen.,Finnish,You can do it.,FALSE,
Nauti hetkestä.,Finnish,Enjoy the moment.,FALSE,
Usko itseesi.,Finnish,Believe in yourself.,FALSE,
Sisu.,Finnish,Grit / perseverance.,FALSE,
Hymyile.,Finnish,Smile.,FALSE,
Kaikki järjestyy.,Finnish,Everything will work out.,FALSE,
Ole iloinen.,Finnish,Be joyful.,FALSE,
Milego dnia.,Polish,Have a nice day.,FALSE,
Powodzenia!,Polish,Good luck!,FALSE,
Dasz rade!,Polish,You can do it!,FALSE,
Glowa do góry.,Polish,Head up!,FALSE,
Uwierz w siebie.,Polish,Believe in yourself.,FALSE,
Trzymaj sie.,Polish,Take care. / Stay strong.,FALSE,
Badz dobrej mysli.,Polish,Think positive thoughts.,FALSE,
Wszystko bedzie dobrze.,Polish,Everything will be fine.,FALSE,
Usmiechnij sie.,Polish,Smile.,FALSE,
Daj z siebie wszystko.,Polish,Give it your all.,FALSE,
Pekný den.,Czech,Have a nice day.,FALSE,
At se darí!,Czech,May things go well!,FALSE,
To zvládneš.,Czech,You can handle it.,FALSE,
Hlavu vzhuru.,Czech,Chin up.,FALSE,
Ver si.,Czech,Believe in yourself.,FALSE,
Drž se.,Czech,Take care. / Stay strong.,FALSE,
Usmej se.,Czech,Smile.,FALSE,
Bude to dobré.,Czech,It will be good.,FALSE,
Hodne štestí!,Czech,Good luck!,FALSE,
Užij si to.,Czech,Enjoy it.,FALSE,
Szép napot!,Hungarian,Have a nice day!,FALSE,
Sok sikert!,Hungarian,Much success!,FALSE,
Hajrá!,Hungarian,Go for it!,FALSE,
Fel a fejjel!,Hungarian,Chin up!,FALSE,
Higgy magadban.,Hungarian,Believe in yourself.,FALSE,
Kitartás!,Hungarian,Perseverance!,FALSE,
Légy pozitív.,Hungarian,Be positive.,FALSE,
Minden rendben lesz.,Hungarian,Everything will be okay.,FALSE,
Mosolyogj.,Hungarian,Smile.,FALSE,
Sok szerencsét!,Hungarian,Good luck!,FALSE,
Iyi günler.,Turkish,Good day.,FALSE,
Bol sans!,Turkish,Good luck!,FALSE,
Kolay gelsin.,Turkish,May it be easy (said to someone working).,FALSE,
Kendine inan.,Turkish,Believe in yourself.,FALSE,
Basarilar dilerim.,Turkish,I wish you success.,FALSE,
Gülümse.,Turkish,Smile.,FALSE,
Her sey yoluna girecek.,Turkish,Everything will be alright.,FALSE,
Pozitif ol.,Turkish,Be positive.,FALSE,
Harika bir gün geçir.,Turkish,Have a wonderful day.,FALSE,
Yapabilirsin.,Turkish,You can do it.,FALSE,
Ugodan dan.,Croatian,Have a pleasant day.,FALSE,
Sretno!,Croatian,Good luck!,FALSE,
Samo hrabro.,Croatian,Just be brave.,FALSE,
Glavu gore.,Croatian,Head up.,FALSE,
Vjeruj u sebe.,Croatian,Believe in yourself.,FALSE,
Drži se.,Croatian,Take care. / Stay strong.,FALSE,
Sve ce biti u redu.,Croatian,Everything will be alright.,FALSE,
Nasmiješi se.,Croatian,Smile.,FALSE,
Ti to možeš.,Croatian,You can do it.,FALSE,
Uživaj u danu.,Croatian,Enjoy the day.,FALSE,
Lep dan ti želim.,Slovenian,I wish you a nice day.,FALSE,
Srecno!,Slovenian,Good luck!,FALSE,
Pogumno naprej.,Slovenian,Bravely forward.,FALSE,
Glavo pokonci.,Slovenian,Head up.,FALSE,
Verjemi vase.,Slovenian,Believe in yourself.,FALSE,
Drži se.,Slovenian,Take care. / Stay strong.,FALSE,
Vse bo v redu.,Slovenian,Everything will be okay.,FALSE,
Nasmehni se.,Slovenian,Smile.,FALSE,
Zmoreš.,Slovenian,You can do it.,FALSE,
Uživaj v dnevu.,Slovenian,Enjoy the day.,FALSE,
Geros dienos.,Lithuanian,Have a good day.,FALSE,
Sekmes!,Lithuanian,Good luck!,FALSE,
Laikykis.,Lithuanian,Take care. / Stay strong.,FALSE,
Tikek savimi.,Lithuanian,Believe in yourself.,FALSE,
Tau pavyks.,Lithuanian,You will succeed.,FALSE,
Viskas bus gerai.,Lithuanian,Everything will be fine.,FALSE,
Nusišypsok.,Lithuanian,Smile.,FALSE,
Buk stiprus.,Lithuanian,Be strong.,FALSE,
Megaukis diena.,Lithuanian,Enjoy the day.,FALSE,
Pirmyn!,Lithuanian,Forward!,FALSE,
Lai tev jauka diena.,Latvian,Have a nice day.,FALSE,
Veiksmi!,Latvian,Good luck!,FALSE,
Turi sevi!,Latvian,Take care!,FALSE,
Tici sev.,Latvian,Believe in yourself.,FALSE,
Tev izdosies.,Latvian,You will succeed.,FALSE,
Viss bus labi.,Latvian,Everything will be fine.,FALSE,
Smaidi.,Latvian,Smile.,FALSE,
Esi stiprs.,Latvian,Be strong.,FALSE,
Baudi dienu.,Latvian,Enjoy the day.,FALSE,
Uz priekšu!,Latvian,Forward!,FALSE,
Head päeva!,Estonian,Have a good day!,FALSE,
Edu!,Estonian,Success!,FALSE,
Pea püsti.,Estonian,Head up!,FALSE,
Usu endasse.,Estonian,Believe in yourself.,FALSE,
Saad hakkama.,Estonian,You can do it.,FALSE,
Kõik saab korda.,Estonian,Everything will be alright.,FALSE,
Naerata.,Estonian,Smile.,FALSE,
Ole tugev.,Estonian,Be strong.,FALSE,
Naudi päeva.,Estonian,Enjoy the day.,FALSE,
Jõudu!,Estonian,Strength!,FALSE,
Lá maith agat.,Irish (Gaelic),Have a good day.,FALSE,
Go n-éirí leat.,Irish (Gaelic),May you succeed.,FALSE,
Misneach!,Irish (Gaelic),Courage!,FALSE,
Creid ionat féin.,Irish (Gaelic),Believe in yourself.,FALSE,
Is féidir leat é a dhéanamh.,Irish (Gaelic),You can do it.,FALSE,
Fan láidir.,Irish (Gaelic),Stay strong.,FALSE,
Bain sult as an lá.,Irish (Gaelic),Enjoy the day.,FALSE,
Coinnigh do cheann in airde.,Irish (Gaelic),Keep your head up.,FALSE,
Ádh mór ort.,Irish (Gaelic),Good luck to you.,FALSE,
Grá agus solas.,Irish (Gaelic),Love and light.,FALSE,
Cael diwrnod da.,Welsh,Have a good day.,FALSE,
Pob lwc!,Welsh,Good luck!,FALSE,
Dal ati.,Welsh,Keep at it / Don't give up.,FALSE,
Cred ynot ti dy hun.,Welsh,Believe in yourself.,FALSE,
Fe ddyli di ei wneud.,Welsh,You can do it.,FALSE,
Cadw'n gryf.,Welsh,Stay strong.,FALSE,
Mwynha'r dydd.,Welsh,Enjoy the day.,FALSE,
Cadwch eich pennau i fyny.,Welsh,Keep your heads up.,FALSE,
Bydd yn iawn.,Welsh,It will be alright.,FALSE,
Ymlaen!,Welsh,Forward!,FALSE,
Ditë të mbarë.,Albanian,Have a successful day.,FALSE,
Suksese!,Albanian,Success!,FALSE,
Forca!,Albanian,Strength!,FALSE,
Beso në veten tënde.,Albanian,Believe in yourself.,FALSE,
Ti mund t'ia dalësh.,Albanian,You can make it.,FALSE,
Qëndro i fortë.,Albanian,Stay strong.,FALSE,
Shijoje ditën.,Albanian,Enjoy the day.,FALSE,
Gjithçka do të shkojë mirë.,Albanian,Everything will go well.,FALSE,
Buzëqesh.,Albanian,Smile.,FALSE,
Vetëm përpara.,Albanian,Only forward.,FALSE,
Il-gurnata t-tajba.,Maltese,Good day.,FALSE,
Awguri.,Maltese,Best wishes!,FALSE,
Kun kuragguz.,Maltese,Be brave.,FALSE,
Emmen fik innifsek.,Maltese,Believe in yourself.,FALSE,
Inti kapaci.,Maltese,You are capable.,FALSE,
Ibqa' b'sahhtek.,Maltese,Stay strong.,FALSE,
Gawdi l-gurnata.,Maltese,Enjoy the day.,FALSE,
Kollox sew.,Maltese,All is well.,FALSE,
Tbissem.,Maltese,Smile.,FALSE,
Kun pozittiv.,Maltese,Be positive.,FALSE,
Egun on.,Basque,Good morning.,FALSE,
Zorte on!,Basque,Good luck!,FALSE,
Animo!,Basque,Courage!,FALSE,
Sinetsi zeure buruarengan.,Basque,Believe in yourself.,FALSE,
Egin dezakezu.,Basque,You can do it.,FALSE,
Izan zaitez sendo.,Basque,Be strong.,FALSE,
Gozatu eguna.,Basque,Enjoy the day.,FALSE,
Aurrera!,Basque,Forward!,FALSE,
Lasai.,Basque,Calm down. / Take it easy.,FALSE,
Ez etsi.,Basque,Don't give up.,FALSE,
Selamat pagi.,Indonesian,Good morning.,FALSE,
Semangat!,Indonesian,Spirit! / Keep your spirits up!,FALSE,
Semoga berhasil.,Indonesian,Good luck.,FALSE,
Percaya dirimu.,Indonesian,Believe in yourself.,FALSE,
Kamu pasti bisa.,Indonesian,You can surely do it.,FALSE,
Tetap kuat.,Indonesian,Stay strong.,FALSE,
Nikmati harimu.,Indonesian,Enjoy your day.,FALSE,
Semua akan baik-baik saja.,Indonesian,Everything will be fine.,FALSE,
Tersenyumlah.,Indonesian,Smile.,FALSE,
Terus maju.,Indonesian,Keep moving forward.,FALSE,
Magandang umaga.,Filipino (Tagalog),Good morning.,FALSE,
Kaya mo 'yan!,Filipino (Tagalog),You can do it!,FALSE,
Suwertehin ka sana.,Filipino (Tagalog),May you be lucky.,FALSE,
Manalig ka sa iyong sarili.,Filipino (Tagalog),Believe in yourself.,FALSE,
Laban lang.,Filipino (Tagalog),Just fight / Don't give up.,FALSE,
Magpakatatag ka.,Filipino (Tagalog),Be strong.,FALSE,
Ngumiti ka.,Filipino (Tagalog),Smile.,FALSE,
Mabuhay!,Filipino (Tagalog),Long live!,FALSE,
Ayos lang 'yan.,Filipino (Tagalog),That's alright.,FALSE,
Galingan mo.,Filipino (Tagalog),Do your best.,FALSE,
Uwe na siku nzuri.,Swahili,Have a nice day.,FALSE,
Kila la kheri.,Swahili,All the best.,FALSE,
Usikate tamaa.,Swahili,Don't give up.,FALSE,
Jiamini.,Swahili,Believe in yourself.,FALSE,
Unaweza.,Swahili,You can.,FALSE,
Songa mbele.,Swahili,Move forward.,FALSE,
Tabasamu.,Swahili,Smile.,FALSE,
Kuwa na nguvu.,Swahili,Have strength.,FALSE,
Hakuna matata.,Swahili,No worries.,FALSE,
Siku njema.,Swahili,Good day.,FALSE,
Goeie dag.,Afrikaans,Good day.,FALSE,
Sterkte vir die dag.,Afrikaans,Strength for the day.,FALSE,
Glo in jouself.,Afrikaans,Believe in yourself.,FALSE,
Jy kan dit doen.,Afrikaans,You can do it.,FALSE,
Geniet jou dag.,Afrikaans,Enjoy your day.,FALSE,
Bly positief.,Afrikaans,Stay positive.,FALSE,
Hou moed.,Afrikaans,Keep courage.,FALSE,
Alles van die beste.,Afrikaans,All the best.,FALSE,
Staan sterk.,Afrikaans,Stand strong.,FALSE,
Wees gelukkig.,Afrikaans,Be happy.,FALSE,
Bonan tagon.,Esperanto,Good day.,FALSE,
Bonsancon.,Esperanto,Good luck.,FALSE,
Kuragon!,Esperanto,Courage!,FALSE,
Kredu je vi mem.,Esperanto,Believe in yourself.,FALSE,
Vi povas fari gin.,Esperanto,You can do it.,FALSE,
Estu forta.,Esperanto,Be strong.,FALSE,
Guu la tagon.,Esperanto,Enjoy the day.,FALSE,
Estu pozitiva.,Esperanto,Be positive.,FALSE,
Ne rezignu.,Esperanto,Don't resign / Don't give up.,FALSE,
Antauen!,Esperanto,Forward!,FALSE,
Ia manuia le aso.,Samoan,Have a blessed day.,FALSE,
Fa'amalosi.,Samoan,Be strong.,FALSE,
Alofa atu.,Samoan,With love.,FALSE,
Manuia le taeao.,Samoan,Good morning.,FALSE,
Tulou.,Samoan,Excuse me.,FALSE,
Malo le soifua.,Samoan,Hello (formal).,FALSE,
E lelei mea uma.,Samoan,Everything is good.,FALSE,
Ataata.,Samoan,Smile.,FALSE,
O lona uiga o le lalolagi.,Samoan,You mean the world.,FALSE,
Manuia!,Samoan,Cheers! / Good luck!,FALSE,
Kia kaha.,Maori (New Zealand),Stay strong.,FALSE,
Kia pai te ra.,Maori (New Zealand),Have a good day.,FALSE,
Mauri ora.,Maori (New Zealand),Life force / Be well.,FALSE,
Aroha nui.,Maori (New Zealand),Much love.,FALSE,
Haere ake nei.,Maori (New Zealand),Go forward.,FALSE,
Tuwhitia te hopo.,Maori (New Zealand),Overcome fear.,FALSE,
Morena.,Maori (New Zealand),Morning (Good morning).,FALSE,
Whaia te iti kahurangi.,Maori (New Zealand),Follow your dreams.,FALSE,
Ka kite ano.,Maori (New Zealand),See you again.,FALSE,
Manata.,Maori (New Zealand),Remember.,FALSE,
Make today count.,English,Make today count.,FALSE,
You are capable of amazing things.,English,You are capable of amazing things.,FALSE,
Stay strong.,English,Stay strong.,FALSE,
Keep shining.,English,Keep shining.,FALSE,
You've got this.,English,You've got this.,FALSE,
Make today amazing.,English,Make today amazing.,FALSE,
Stay focused and stay humble.,English,Stay focused and stay humble.,FALSE,
Enjoy the journey.,English,Enjoy the journey.,FALSE,
Good vibes only.,English,Good vibes only.,FALSE,
Be awesome today.,English,Be awesome today.,FALSE,
Make it happen.,English,Make it happen.,FALSE,
Shine bright.,English,Shine bright.,FALSE,
Embrace the day.,English,Embrace the day.,FALSE,
Never stop exploring.,English,Never stop exploring.,FALSE,
Vive el momento.,Spanish,Live the moment.,FALSE,
Sigue adelante.,Spanish,Keep going forward.,FALSE,
Confía en el proceso.,Spanish,Trust the process.,FALSE,
La journée t'appartient.,French,The day belongs to you.,FALSE,
Brille de mille feux.,French,Shine with a thousand lights.,FALSE,
Va au bout de tes rêves.,French,Go to the end of your dreams.,FALSE,
Vivi il presente.,Italian,Live in the present.,FALSE,
Sogna in grande.,Italian,Dream big.,FALSE,
Sei una stella.,Italian,You are a star.,FALSE,
Lebe im Jetzt.,German,Live in the now.,FALSE,
Träume groß.,German,Dream big.,FALSE,
Sei stark und mutig.,German,Be strong and brave.,FALSE,
Viva o agora.,Portuguese,Live the now.,FALSE,
Sonhe alto.,Portuguese,Dream high.,FALSE,
Seja a sua própria inspiração.,Portuguese,Be your own inspiration.,FALSE,
Bon dia.,Catalan,Good day.,FALSE,
Molta sort.,Catalan,Good luck.,FALSE,
Endavant!,Catalan,Forward!,FALSE,
Creu en tu.,Catalan,Believe in yourself.,FALSE,
Gaudeix del dia.,Catalan,Enjoy the day.,FALSE,
Bo día.,Galician,Good day.,FALSE,
Moita sorte.,Galician,Good luck.,FALSE,
Adiante.,Galician,Forward!,FALSE,
Cre en ti.,Galician,Believe in yourself.,FALSE,
Goza do día.,Galician,Enjoy the day.,FALSE,
Gudde Moien.,Luxembourgish,Good morning.,FALSE,
Vill Gléck.,Luxembourgish,Good luck.,FALSE,
Maach dat Bescht draus.,Luxembourgish,Make the best of it.,FALSE,
Alles Guddes.,Luxembourgish,All the best.,FALSE,
Bleif staark.,Luxembourgish,Stay strong.,FALSE,
Demat.,Breton,Hello.,FALSE,
Chañs vat.,Breton,Good luck.,FALSE,
Deoc'h-i d'ar Gwellañ!,Breton,All the best!,FALSE,
Góðan dag.,Faroese,Good day.,FALSE,
Góða eydnu.,Faroese,Good luck.,FALSE,
Halt teg reinan.,Faroese,Take care.,FALSE,
